eeg_id,eeg_sub_id,spectrogram_id,spectrogram_sub_id,fold1,fold2,fold3,fold4,fold5
48274288,0,1496078390,2,0,0,1,0,0
165634434,1,957002006,1,0,0,1,0,0
201627859,0,688709208,0,0,0,1,0,0
234570256,0,497667405,1,0,0,1,0,0
271569269,0,925581305,0,0,0,1,0,0
353521535,0,1675215061,2,0,0,1,0,0
374550767,0,497667405,2,0,0,1,0,0
446890674,0,810462822,0,0,0,1,0,0
487553906,0,318214697,0,0,0,1,0,0
532237873,0,1486846946,0,0,0,1,0,0
597817062,1,766655820,2,0,0,1,0,0
667415534,0,466986202,2,0,0,1,0,0
879270957,0,1496078390,0,0,0,1,0,0
943589757,0,466986202,0,0,0,1,0,0
1085571772,1,610627902,1,0,0,1,0,0
1085571772,2,610627902,2,0,0,1,0,0
1393138359,0,195359780,0,0,0,1,0,0
1437219752,0,1329229041,0,0,0,1,0,0
1506484236,0,971557517,0,0,0,1,0,0
1624010390,1,1307728870,1,0,0,1,0,0
1645621057,0,1496078390,1,0,0,1,0,0
1710143925,0,626545454,1,0,0,1,0,0
1739518685,0,1108266957,2,0,0,1,0,0
1747230340,0,885104901,0,0,0,1,0,0
1748654833,0,626545454,0,0,0,1,0,0
1799920020,0,1404074979,0,0,0,1,0,0
1873660287,0,802850878,0,0,0,1,0,0
1953904761,0,1675215061,0,0,0,1,0,0
2044050606,0,1465929862,0,0,0,1,0,0
2057577408,1,802850878,2,0,0,1,0,0
2187560710,0,1307728870,3,0,0,1,0,0
2262572014,1,1192136192,1,0,0,1,0,0
2266730262,0,794562934,0,0,0,1,0,0
2390816730,0,1307728870,2,0,0,1,0,0
2537609730,1,1404074979,2,0,0,1,0,0
2584856799,0,1072651400,0,0,0,1,0,0
2618532900,0,1414819987,0,0,0,1,0,0
2648101502,0,21260989,1,0,0,1,0,0
2890065843,0,21260989,0,0,0,1,0,0
2923178893,0,766655820,0,0,0,1,0,0
2930478989,0,497667405,0,0,0,1,0,0
3154897537,0,329727159,0,0,0,1,0,0
3198379850,0,626545454,2,0,0,1,0,0
3289357531,1,1108266957,1,0,0,1,0,0
3446135487,0,1465929862,1,0,0,1,0,0
3561530528,0,1675215061,1,0,0,1,0,0
3677483729,0,497667405,3,0,0,1,0,0
3685996567,1,466986202,4,0,0,1,0,0
3766237411,0,466986202,1,0,0,1,0,0
4294455489,0,2105480289,0,0,0,1,0,0
230365597,1,464112030,1,1,0,0,0,0
605268498,1,233429877,1,1,0,0,0,0
672742669,2,1834631860,2,1,0,0,0,0
672742669,7,1834631860,7,1,0,0,0,0
676375482,2,1564688399,2,1,0,0,0,0
698974011,3,527691343,3,1,0,0,0,0
1047576492,1,1992563244,1,1,0,0,0,0
1629325575,2,464112030,4,1,0,0,0,0
3238594808,2,293232664,2,1,0,0,0,0
4097934975,3,1938502944,3,1,0,0,0,0
4125222175,5,1420515864,5,1,0,0,0,0
3347948514,2,888540936,2,0,0,0,1,0
3787970108,2,1541002016,2,0,0,0,1,0
801241054,1,773620743,1,0,0,0,0,1
1418110377,1,530422171,1,0,0,0,0,1
2098094527,1,2141096168,1,0,0,0,0,1
2591731335,11,1201609143,11,0,0,0,0,1
2863752785,3,1279359570,3,0,0,0,0,1
3321490935,2,530422171,5,0,0,0,0,1
3498729387,5,581053218,5,0,0,0,0,1
3675463833,2,531022779,2,0,0,0,0,1
3929309836,1,1906157108,1,0,0,0,0,1
4041885663,0,610465195,0,0,0,0,0,1
140777105,0,183458375,0,0,0,0,0,1
140777105,2,183458375,2,0,0,0,0,1
947850702,2,1449622471,2,0,0,0,0,1
1415737975,0,2081826095,0,0,0,0,0,1
2098160293,0,912524007,0,0,0,0,0,1
728496959,8,2145358771,12,0,1,0,0,0
728496959,18,2145358771,22,0,1,0,0,0
728496959,22,2145358771,26,0,1,0,0,0
728496959,27,2145358771,31,0,1,0,0,0
2582174433,9,2145358771,42,0,1,0,0,0
4288875638,2,2145358771,2,0,1,0,0,0
630625254,3,248725092,3,0,0,0,1,0
630625254,8,248725092,8,0,0,0,1,0
630625254,12,248725092,12,0,0,0,1,0
2486443352,4,248725092,19,0,0,0,1,0
522896967,3,2041469671,3,0,1,0,0,0
1706482523,1,500812223,1,0,1,0,0,0
1706482523,5,500812223,5,0,1,0,0,0
1706482523,10,500812223,10,0,1,0,0,0
113014148,0,1713741803,0,0,1,0,0,0
1342623637,1,1968356301,1,0,1,0,0,0
2319943966,0,286170471,0,0,1,0,0,0
1568682553,0,1463531995,0,0,0,0,1,0
2222924277,27,1462412252,27,0,0,0,1,0
3218619910,0,1463531995,1,0,0,0,1,0
378121264,20,1933315575,20,0,1,0,0,0
2266160069,8,1180799012,8,0,1,0,0,0
3861317607,4,607625619,4,0,1,0,0,0
3932697385,6,815430376,6,0,1,0,0,0
704176266,1,178723850,1,0,0,0,0,1
704176266,3,178723850,3,0,0,0,0,1
1442458137,0,12443862,0,0,0,0,0,1
2757570518,4,205328079,4,0,0,0,0,1
64917920,4,475463468,4,1,0,0,0,0
80093115,2,784238892,2,1,0,0,0,0
465531667,2,78130741,2,1,0,0,0,0
939099237,3,1479359401,3,1,0,0,0,0
941066906,0,605730168,0,1,0,0,0,0
1241196880,1,343369618,1,1,0,0,0,0
1352432348,2,772831735,2,1,0,0,0,0
1481948917,1,1203075467,1,1,0,0,0,0
1559520188,1,1009616880,1,1,0,0,0,0
1567995818,1,1046519018,1,1,0,0,0,0
1642962329,3,1792418347,3,1,0,0,0,0
1681431290,2,1175700288,2,1,0,0,0,0
1769345902,1,351441998,1,1,0,0,0,0
1793204147,2,110675462,2,1,0,0,0,0
2219030597,3,1803105762,3,1,0,0,0,0
2337041082,3,109255139,3,1,0,0,0,0
2373377922,3,1175653908,3,1,0,0,0,0
2500042806,3,343369618,5,1,0,0,0,0
2714017628,2,1156749052,2,1,0,0,0,0
2998657781,2,967133871,4,1,0,0,0,0
3197558185,1,749100979,1,1,0,0,0,0
3429098104,1,967133871,1,1,0,0,0,0
3471788839,3,796818677,3,1,0,0,0,0
4027637507,1,539433917,1,1,0,0,0,0
4027637507,4,539433917,4,1,0,0,0,0
4027637507,6,539433917,6,1,0,0,0,0
4027637507,8,539433917,8,1,0,0,0,0
1287937119,2,1794317121,2,0,0,1,0,0
1413634304,5,1674124702,5,0,0,1,0,0
1460856519,15,634488329,15,0,0,1,0,0
1730765116,2,787070855,2,0,0,1,0,0
2024714656,15,64859554,15,0,0,1,0,0
2487824374,21,851686866,21,0,0,1,0,0
3316577383,9,135929526,9,0,0,1,0,0
3316793667,1,931064716,1,0,0,1,0,0
125847494,1,378791185,1,1,0,0,0,0
1172672451,1,1010807677,1,1,0,0,0,0
1172672451,7,1010807677,7,1,0,0,0,0
1172672451,13,1010807677,13,1,0,0,0,0
1172672451,19,1010807677,19,1,0,0,0,0
1424484930,0,4583530,0,1,0,0,0,0
1531656737,1,821024801,1,1,0,0,0,0
3566983773,7,326579551,7,1,0,0,0,0
4287566616,1,1705117678,1,1,0,0,0,0
344081351,2,670636533,2,0,0,0,0,1
413398782,3,813778472,3,0,0,0,0,1
413753952,1,743364411,2,0,0,0,0,1
1119070139,0,743364411,3,0,0,0,0,1
1311142888,3,343980959,3,0,0,0,0,1
1394090418,2,529294845,2,0,0,0,0,1
1523347718,1,996814334,1,0,0,0,0,1
2000125018,1,996814334,4,0,0,0,0,1
2235298874,3,529294845,8,0,0,0,0,1
2493996394,0,125179499,0,0,0,0,0,1
2493996394,2,125179499,2,0,0,0,0,1
2493996394,5,125179499,5,0,0,0,0,1
2550609156,0,743364411,4,0,0,0,0,1
3476050404,0,743364411,0,0,0,0,0,1
4209680104,7,529294845,19,0,0,0,0,1
1504302775,0,971588091,5,0,1,0,0,0
2744339739,2,971588091,2,0,1,0,0,0
2749685544,1,971588091,7,0,1,0,0,0
279789297,0,1187040675,0,0,0,1,0,0
1220082386,1,740568102,1,0,0,1,0,0
3745248002,0,1430098727,0,0,0,1,0,0
4162813840,1,1574052489,1,0,1,0,0,0
359187396,0,1182304882,0,0,1,0,0,0
1252284912,0,1229567619,0,0,1,0,0,0
2728252053,7,1910420201,7,0,1,0,0,0
1509921235,4,286597129,4,1,0,0,0,0
4068553523,2,159604197,2,1,0,0,0,0
18263267,1,1965145273,1,0,0,0,1,0
37332259,0,648961083,3,0,0,0,1,0
55458903,0,555183181,6,0,0,0,1,0
106141507,1,555183181,5,0,0,0,1,0
159828546,0,1996575016,0,0,0,0,1,0
185129675,0,127120280,0,0,0,0,1,0
209711361,0,308555986,2,0,0,0,1,0
215108398,1,1989745547,1,0,0,0,1,0
215108398,8,1989745547,8,0,0,0,1,0
224483668,0,308555986,1,0,0,0,1,0
264444258,0,1746536997,1,0,0,0,1,0
266934648,0,1442300290,18,0,0,0,1,0
322419381,0,127120280,1,0,0,0,1,0
472904921,0,289661225,0,0,0,0,1,0
564186768,0,598077064,0,0,0,0,1,0
585246282,0,1453102409,0,0,0,0,1,0
595435853,7,1488363050,7,0,0,0,1,0
595435853,14,1488363050,14,0,0,0,1,0
671793437,1,807593751,2,0,0,0,1,0
719192105,0,1359619855,1,0,0,0,1,0
744092611,1,691394730,2,0,0,0,1,0
796722262,0,2023767671,0,0,0,0,1,0
805166858,4,1847073976,7,0,0,0,1,0
807879998,2,555183181,2,0,0,0,1,0
813560385,1,1413915877,1,0,0,0,1,0
818391817,0,1234695920,0,0,0,0,1,0
925310392,0,1153846816,1,0,0,0,1,0
979865826,0,1626043434,0,0,0,0,1,0
979865826,4,1626043434,4,0,0,0,1,0
1009006544,0,1847073976,11,0,0,0,1,0
1009006544,1,1847073976,12,0,0,0,1,0
1105122753,0,784501415,3,0,0,0,1,0
1110500532,0,2039025783,0,0,0,0,1,0
1149113607,1,1234695920,2,0,0,0,1,0
1166255027,0,1965145273,4,0,0,0,1,0
1171868086,7,555474116,7,0,0,0,1,0
1199303466,0,1746536997,0,0,0,0,1,0
1364606164,0,1105151302,5,0,0,0,1,0
1443711014,0,555183181,7,0,0,0,1,0
1579077399,0,1765470830,0,0,0,0,1,0
1587095339,4,1421878987,4,0,0,0,1,0
1604604205,0,1442300290,31,0,0,0,1,0
1650556316,0,691394730,0,0,0,0,1,0
1713576022,2,1105151302,2,0,0,0,1,0
1726581102,0,1106185231,0,0,0,0,1,0
1750027340,0,308555986,0,0,0,0,1,0
1797338328,1,648961083,2,0,0,0,1,0
1840324430,0,1488363050,15,0,0,0,1,0
1905439646,1,1996575016,2,0,0,0,1,0
1949597089,0,1965145273,3,0,0,0,1,0
2110702195,0,1918346051,0,0,0,0,1,0
2185512250,0,289661225,1,0,0,0,1,0
2200247100,3,453329115,3,0,0,0,1,0
2213375893,0,1452698553,0,0,0,0,1,0
2217587215,0,1105151302,7,0,0,0,1,0
2218058820,2,1488363050,23,0,0,0,1,0
2290470270,0,1488363050,20,0,0,0,1,0
2373658401,2,1488363050,28,0,0,0,1,0
2444142176,2,598077064,3,0,0,0,1,0
2499606852,2,1303925989,2,0,0,0,1,0
2527199149,0,1665312782,0,0,0,0,1,0
2581246468,0,278174019,0,0,0,0,1,0
2630964137,2,648961083,6,0,0,0,1,0
2630964137,5,648961083,9,0,0,0,1,0
2657431413,2,624228830,2,0,0,0,1,0
2811965228,1,1275966584,1,0,0,0,1,0
2821916561,4,1416699995,4,0,0,0,1,0
